Year_of_Birth,Education_Level,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Enrol_year,Enrol_Month,Enrol_Age,Enrol_day,Enrol_wkday,Year_Birth_Clus,CatPurchase_Clus,WebPurchuse_Clus,WebVisit_Clus,Education_Ordinal
1955,Graduation,Divorced,77504.4,1,1,56,2,1,1,4,71,3,16,0,6,20,3,0,0,0,0,0,0,2014,6,59,22,Sunday,1,0,0,0,5
1958,Graduation,Together,56784.0,0,1,17,6,5,1,8,205,22,111,50,15,19,6,0,0,0,0,0,0,2013,1,55,8,Tuesday,1,0,0,0,5
1962,Graduation,Single,103714.8,0,0,17,0,7,4,7,469,31,873,29,18,37,2,0,0,0,1,0,0,2013,11,51,21,Thursday,1,0,0,0,5
1979,Secondary,Single,46311.6,1,0,49,3,4,1,3,56,15,49,17,24,24,8,0,0,0,0,0,0,2013,9,34,13,Friday,1,0,0,0,2
1959,Graduation,Married,87486.0,0,0,59,1,3,7,9,412,117,445,181,165,203,1,0,0,0,1,0,0,2014,1,55,21,Tuesday,1,0,0,0,5
1960,Master,Married,41090.4,0,1,32,1,0,0,3,13,5,4,0,0,1,5,0,0,0,0,0,0,2014,3,54,23,Sunday,1,0,0,0,3
1953,Graduation,Single,86673.59999999999,0,0,94,1,6,7,8,636,31,491,30,14,56,3,0,0,0,0,0,0,2012,11,59,27,Tuesday,1,0,0,0,5
1974,Graduation,Together,88711.2,0,0,61,1,6,5,12,632,94,597,159,91,15,3,0,0,0,0,0,0,2013,2,39,3,Sunday,1,0,0,0,5
1966,Graduation,Together,35606.4,1,1,13,1,0,0,3,14,4,3,0,4,8,6,0,0,0,0,0,0,2013,12,47,3,Tuesday,1,0,0,0,5
1975,Graduation,Married,41305.2,1,0,88,1,1,0,2,8,6,7,6,2,9,7,0,0,0,0,0,0,2013,1,38,7,Monday,1,0,0,0,5
1974,Graduation,Married,31473.6,1,0,57,1,1,0,2,7,9,4,3,1,9,8,0,0,0,0,0,0,2013,9,39,22,Sunday,1,0,0,0,5
1989,Graduation,Single,82386.0,0,0,102,1,4,5,11,461,22,832,75,118,38,3,0,0,0,0,0,0,2012,10,23,8,Monday,1,0,0,0,5
1955,Graduation,Married,56080.8,0,1,47,2,6,1,5,115,8,137,26,23,29,7,0,0,0,0,0,0,2012,11,57,18,Sunday,1,0,0,0,5
1956,Graduation,Together,51103.2,1,1,14,5,4,1,6,199,5,56,0,0,0,8,0,0,0,0,0,0,2012,10,56,29,Monday,1,0,0,0,5
1976,Secondary,Single,49989.6,1,1,37,2,1,1,2,13,7,12,15,4,29,4,0,0,0,0,0,0,2012,9,36,11,Tuesday,1,0,0,0,2
1958,Graduation,Together,31309.2,1,1,91,3,2,1,3,20,13,19,8,17,20,5,0,0,0,0,0,0,2014,2,56,25,Tuesday,1,0,0,0,5
1970,Graduation,Single,65763.59999999999,0,1,72,2,6,2,9,409,3,92,28,27,142,4,0,0,0,0,0,0,2012,8,42,21,Tuesday,1,0,0,0,5
1965,Master,Single,76766.4,0,1,100,4,5,4,10,933,66,254,0,12,12,4,0,1,0,0,0,0,2012,2,47,12,Sunday,1,0,0,0,3
1977,Graduation,Married,47227.2,1,1,28,1,1,0,2,20,3,2,0,0,6,6,1,0,0,0,0,0,2014,3,37,19,Wednesday,1,0,0,0,5
1959,Secondary,Single,102582.0,0,0,80,1,6,6,6,635,29,611,44,18,54,2,0,0,0,0,0,0,2014,6,55,21,Saturday,1,0,0,0,2
1977,Master,Together,36672.0,1,0,13,1,1,0,3,14,4,5,4,5,7,7,0,0,0,0,0,0,2013,6,36,27,Thursday,1,0,0,0,3
1953,PhD,Married,93132.0,0,1,77,2,4,7,4,1250,36,332,21,33,16,7,0,0,0,0,0,0,2012,10,59,29,Monday,1,0,0,0,4
1952,Master,Married,32940.0,0,0,64,1,2,1,3,42,15,23,8,11,52,7,0,0,0,0,0,0,2013,4,61,15,Monday,1,0,0,0,3
1981,Secondary,Single,38230.8,1,0,10,1,1,0,3,8,7,7,15,8,11,7,0,0,0,0,0,0,2014,2,33,27,Thursday,1,0,0,0,2
1951,PhD,Married,58438.8,1,1,97,1,1,0,3,31,4,10,2,0,1,5,0,0,0,0,0,0,2013,5,62,21,Tuesday,1,0,0,0,4
1995,Graduation,Together,96822.0,0,0,62,1,6,4,10,246,48,604,34,26,54,2,0,0,0,0,0,0,2012,8,17,22,Wednesday,1,0,0,0,5
1960,Secondary,Divorced,70862.4,0,1,36,3,7,1,7,235,38,75,63,57,31,5,0,0,0,0,0,0,2013,11,53,17,Sunday,1,0,0,0,2
1977,PhD,Divorced,84214.8,0,1,17,3,7,3,13,537,91,168,69,44,133,5,0,0,0,0,0,0,2013,7,36,21,Sunday,1,0,0,0,4
1970,Master,Together,43108.8,1,1,63,1,1,0,3,13,3,14,2,3,7,5,0,0,0,0,0,0,2014,3,44,23,Sunday,1,0,0,0,3
1973,Graduation,Married,71599.2,1,1,94,7,3,2,8,628,56,178,23,17,133,8,0,1,0,0,0,0,2013,3,40,22,Friday,1,0,0,0,5
1955,PhD,Single,109119.6,0,0,97,1,4,6,4,1025,34,430,62,63,79,1,0,0,1,0,0,0,2014,3,59,31,Monday,1,0,0,0,4
1952,Graduation,Married,36999.6,1,1,40,2,1,0,3,16,3,7,3,1,6,5,0,0,0,0,0,0,2013,7,61,16,Tuesday,1,0,0,0,5
1972,PhD,Married,72702.0,1,1,24,10,7,4,9,272,45,309,55,42,21,5,0,0,0,0,0,0,2013,6,41,24,Monday,1,0,0,0,4
1971,Graduation,Married,27574.8,1,0,36,3,3,2,2,21,20,19,20,21,22,8,0,0,0,0,0,0,2012,6,41,9,Saturday,1,0,0,0,5
1958,Secondary,Divorced,92756.4,0,0,91,1,5,7,9,413,64,109,48,122,41,4,0,0,0,1,0,0,2013,1,55,26,Saturday,1,0,0,0,2
1972,Graduation,Divorced,2076.0,0,0,72,15,0,0,0,6,4,3,1,1,1,20,0,0,0,0,0,0,2014,5,42,18,Sunday,1,0,0,1,5
1956,Master,Married,46142.4,1,1,69,3,3,0,3,61,3,14,0,0,2,7,0,0,0,0,0,0,2014,3,58,30,Sunday,1,0,0,0,3
1951,PhD,Together,71150.4,0,1,78,2,3,5,8,383,17,68,19,14,14,3,0,0,0,0,0,0,2013,6,62,13,Thursday,1,0,0,0,4
1988,Graduation,Single,28130.4,1,0,78,1,1,0,3,7,3,6,8,6,5,7,0,0,0,0,0,0,2012,12,24,24,Monday,1,0,0,0,5
1984,Graduation,Together,47343.6,1,0,71,2,2,0,3,51,3,7,0,0,2,6,0,0,0,0,0,0,2014,3,30,4,Tuesday,1,0,0,0,5
1984,Graduation,Married,47906.4,1,0,37,2,3,0,4,34,15,59,19,1,36,8,0,0,0,0,0,0,2013,2,29,14,Thursday,1,0,0,0,5
1976,Graduation,Together,71377.2,0,1,54,2,3,3,8,183,6,85,71,66,58,2,0,0,0,0,0,0,2013,10,37,23,Wednesday,1,0,0,0,5
1953,Master,Married,40132.8,1,1,31,1,1,0,2,13,3,8,0,0,2,8,0,0,0,0,0,0,2012,3,59,11,Sunday,1,0,0,0,3
1981,Graduation,Married,98996.4,0,0,39,1,2,7,9,782,132,573,216,21,203,4,0,0,1,0,0,0,2012,10,31,31,Wednesday,1,0,0,0,5
1990,Graduation,Single,55328.4,1,0,85,1,1,1,4,36,12,27,16,9,33,3,0,0,0,0,0,0,2014,10,24,2,Thursday,1,0,0,0,5
1970,PhD,Married,113845.2,0,2,106,1,8,5,4,174,27,553,188,0,144,7,0,1,1,0,0,0,2012,1,42,9,Monday,1,0,0,0,4
1986,Graduation,Single,84715.2,0,0,75,1,3,5,12,352,47,534,17,0,26,2,0,0,0,0,0,0,2012,5,26,10,Thursday,1,0,0,0,5
1977,Master,Together,36672.0,1,0,13,1,1,0,3,14,4,5,4,5,7,7,0,0,0,0,0,0,2013,6,36,27,Thursday,1,0,0,0,3
1977,Master,Together,78124.8,0,1,11,2,3,5,7,743,3,232,13,20,50,7,0,0,0,0,0,0,2013,11,36,14,Thursday,1,0,0,0,3
1971,Secondary,Divorced,31150.8,1,1,8,2,1,2,2,9,5,12,7,5,26,6,0,0,0,0,0,0,2013,2,42,14,Thursday,1,0,0,0,2
1966,Graduation,Together,85935.59999999999,0,0,33,1,8,2,10,431,52,127,111,21,42,4,0,0,0,0,0,0,2013,8,47,21,Wednesday,1,0,0,0,5
1966,Secondary,Divorced,77011.2,0,1,59,8,8,9,8,1220,36,249,64,116,149,6,0,0,0,0,0,0,2012,3,46,8,Thursday,1,0,0,0,2
1969,Graduation,Married,61544.4,1,1,17,3,4,1,3,122,3,22,13,0,30,7,0,0,0,0,0,0,2014,1,45,4,Saturday,1,0,0,0,5
1973,Graduation,Married,43231.2,2,1,41,2,2,0,3,25,7,10,6,4,17,6,0,0,0,0,0,0,2014,3,41,16,Sunday,1,0,0,0,5
1900,PhD,Together,100238.4,0,0,43,1,4,6,4,760,147,562,104,64,224,1,0,0,1,0,0,0,2013,9,113,26,Thursday,0,0,0,0,4
1972,PhD,Married,94717.2,0,0,26,1,2,8,13,336,200,170,58,152,35,1,0,0,0,0,0,0,2013,10,41,25,Friday,1,0,0,0,4
1967,Master,Married,45814.8,1,1,37,4,3,1,3,43,7,22,4,2,20,7,0,0,0,0,0,0,2013,3,46,14,Thursday,1,0,0,0,3
1971,Graduation,Single,27102.0,0,0,30,1,1,1,2,8,12,15,13,2,39,9,1,0,0,0,0,0,2013,3,42,18,Monday,1,0,0,0,5
1979,Master,Married,105716.4,1,0,31,1,6,5,8,168,3,480,0,126,75,9,0,1,1,1,0,0,2012,8,33,18,Saturday,1,0,0,0,3
1987,Secondary,Married,9000.0,1,0,103,2,2,0,3,6,14,5,4,6,9,8,0,0,0,0,0,0,2013,7,26,2,Tuesday,1,0,0,0,2
1984,Master,Single,38145.6,1,0,22,3,3,0,4,21,10,23,0,8,6,5,0,0,0,0,0,1,2014,3,30,20,Thursday,1,0,0,0,3
1986,Graduation,Single,35712.0,1,0,94,4,3,1,4,69,7,68,7,5,17,8,0,0,0,0,0,0,2012,8,26,29,Wednesday,1,0,0,0,5
1959,Graduation,Married,73288.8,0,1,44,7,11,5,8,794,3,133,0,28,152,7,0,0,0,0,0,0,2012,8,53,17,Friday,1,0,0,0,5
1992,Basic,Single,32241.6,1,0,59,1,1,0,2,5,3,1,8,3,2,7,0,0,0,0,0,0,2014,4,22,30,Wednesday,1,0,0,0,1
1968,Graduation,Single,56284.8,1,1,27,4,5,1,4,158,7,56,0,9,31,8,0,0,0,0,0,0,2012,3,44,11,Sunday,1,0,0,0,5
1963,Graduation,Together,61434.0,1,1,53,8,9,2,5,235,17,156,82,24,58,8,0,0,0,0,0,0,2013,1,50,4,Friday,1,0,0,0,5
1966,Graduation,Single,79552.8,0,0,75,1,4,3,5,256,111,334,65,92,117,2,0,0,0,0,0,0,2014,3,48,17,Monday,1,0,0,0,5
1972,Graduation,Widow,54820.8,1,0,44,1,1,0,2,10,4,5,10,0,7,7,0,0,0,0,0,0,2013,2,41,12,Tuesday,1,0,0,0,5
1957,Graduation,Divorced,31380.0,2,1,68,1,1,0,3,10,4,13,3,5,1,7,0,0,0,0,0,0,2013,11,56,3,Sunday,1,0,0,0,5
1944,PhD,Married,91038.0,0,0,80,1,3,5,10,488,3,591,156,0,12,1,0,0,0,0,0,0,2014,3,70,31,Monday,1,0,0,0,4
1961,Graduation,Married,35178.0,1,1,62,4,2,0,4,18,5,14,8,7,4,6,0,0,0,0,0,0,2014,6,53,4,Wednesday,1,0,0,0,5
1950,PhD,Widow,61882.8,0,1,46,4,7,1,7,385,3,47,6,0,34,8,0,1,0,0,0,0,2013,12,63,2,Monday,1,0,0,0,4
1976,Master,Single,37392.0,1,0,66,2,2,0,3,21,6,25,6,1,13,8,0,0,0,0,0,0,2013,9,37,16,Monday,1,0,0,0,3
1988,Graduation,Single,56307.6,1,0,97,3,5,1,7,90,47,54,102,78,6,7,0,0,0,0,0,0,2012,8,24,22,Wednesday,1,0,0,0,5
1950,Master,Married,75414.0,1,1,10,11,3,4,10,1104,3,45,0,0,34,8,0,1,0,0,0,0,2012,1,62,10,Tuesday,1,0,0,0,3
1957,Master,Married,108271.2,0,0,33,1,4,7,12,1088,111,649,253,151,108,2,0,0,0,1,0,0,2012,9,55,26,Wednesday,1,0,0,0,3
1970,Master,Together,53522.4,1,1,42,6,6,1,4,172,5,89,0,0,34,8,0,0,0,0,0,0,2014,2,44,15,Saturday,1,0,0,0,3
1977,Graduation,Divorced,15085.2,1,0,93,4,3,1,3,8,8,14,2,12,17,6,0,0,0,0,0,0,2014,1,37,18,Saturday,1,0,0,0,5
1977,PhD,Married,82076.4,0,1,13,1,6,9,5,765,83,466,17,13,80,3,0,0,0,0,0,0,2013,11,36,17,Sunday,1,0,0,0,4
1977,PhD,Together,44874.0,1,0,54,1,1,0,3,23,3,9,0,1,11,6,0,0,0,0,0,0,2014,2,37,5,Wednesday,1,0,0,0,4
1954,Graduation,Married,58423.2,1,2,15,1,1,0,2,15,3,7,2,0,1,8,0,0,0,0,0,0,2013,4,59,12,Friday,1,0,0,0,5
1956,Graduation,Married,78252.0,0,1,32,2,9,3,8,631,3,70,0,7,28,6,0,1,0,1,0,0,2014,10,58,3,Friday,1,0,0,0,5
1973,Graduation,Together,101887.2,0,0,105,1,5,6,12,1002,18,414,99,30,76,2,0,1,1,0,1,0,2013,4,40,10,Wednesday,1,0,0,0,5
1976,Graduation,Married,95046.0,0,0,80,1,6,5,4,509,26,117,179,28,44,4,0,0,0,1,0,0,2012,8,36,29,Wednesday,1,0,0,0,5
1955,Graduation,Married,70933.2,0,0,97,1,11,1,8,529,3,134,28,28,155,7,0,0,0,0,0,0,2013,2,58,5,Tuesday,1,0,0,0,5
1982,Graduation,Single,86479.2,0,0,62,1,4,6,6,1008,37,536,134,51,34,2,0,0,1,1,0,0,2014,6,32,23,Monday,1,0,0,0,5
1972,Graduation,Widow,36446.4,1,1,40,3,2,0,3,20,3,12,7,3,7,7,0,0,0,0,0,0,2012,12,40,25,Tuesday,1,0,0,0,5
1971,PhD,Married,71870.4,0,1,33,1,2,1,3,78,3,13,0,1,0,3,0,0,0,0,0,0,2013,2,42,11,Monday,1,0,0,0,4
1963,PhD,Married,65631.59999999999,0,1,79,8,6,4,13,691,20,142,23,26,35,6,0,0,0,0,0,0,2013,2,50,17,Sunday,1,0,0,0,4
1959,PhD,Together,93435.6,0,0,27,1,4,5,10,886,41,319,16,25,12,2,0,0,0,0,0,0,2013,11,54,27,Wednesday,1,0,0,0,4
1951,Graduation,Together,40831.2,1,1,18,3,2,1,3,23,9,15,12,8,17,5,0,0,0,0,0,0,2013,5,62,8,Wednesday,1,0,0,0,5
1991,Graduation,Married,22714.8,0,0,22,1,1,0,4,37,3,8,23,4,18,6,0,0,0,0,0,0,2013,2,22,16,Saturday,1,0,0,0,5
1947,Master,Married,80202.0,0,0,28,1,6,4,13,625,29,195,34,17,141,2,0,0,0,0,0,0,2013,9,66,28,Saturday,1,0,0,0,3
1966,Graduation,Together,40147.2,1,1,65,2,1,0,3,12,6,10,8,1,7,7,0,0,0,0,0,0,2014,4,48,21,Monday,1,0,0,0,5
1981,Secondary,Single,55066.8,0,1,49,1,1,0,3,36,3,6,0,1,8,6,0,0,0,0,0,0,2013,2,32,7,Thursday,1,0,0,0,2
