Year_of_Birth,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Enrol_year,Enrol_Month,Enrol_Age,Enrol_day,Enrol_wkday,Year_Birth_Clus,CatPurchase_Clus,WebPurchuse_Clus,WebVisit_Clus,Education_Ordinal
1955,0,77504.4,1,1,56,2,1,1,4,1.6632944814375767,1.3862943611198906,2.833213344056216,0.0,1.9459101490553132,3.044522437723423,3,0,0,0,0,0,0,2014,6,59,22,3,1,0,0,0,5
1958,3,56784.0,0,1,17,6,5,1,8,1.8449646614985311,3.1354942159291497,4.718498871295094,3.9318256327243257,2.772588722239781,2.995732273553991,6,0,0,0,0,0,0,2013,1,55,8,5,1,0,0,0,5
1962,2,103714.8,0,0,17,0,7,4,7,1.9674944787514983,3.4657359027997265,6.773080375655535,3.4011973816621555,2.9444389791664403,3.6375861597263857,2,0,0,0,1,0,0,2013,11,51,21,4,1,0,0,0,5
1979,2,46311.6,1,0,49,3,4,1,3,1.6180113091810355,2.772588722239781,3.912023005428146,2.8903717578961645,3.2188758248682006,3.2188758248682006,8,0,0,0,0,0,0,2013,9,34,13,0,1,0,0,0,2
1959,1,87486.0,0,0,59,1,3,7,9,1.9492542075910286,4.770684624465665,6.100318952020064,5.204006687076795,5.111987788356544,5.318119993844216,1,0,0,0,1,0,0,2014,1,55,21,5,1,0,0,0,5
1960,1,41090.4,0,1,32,1,0,0,3,1.2917246727283112,1.791759469228055,1.6094379124341003,0.0,0.0,0.6931471805599453,5,0,0,0,0,0,0,2014,3,54,23,3,1,0,0,0,3
1953,2,86673.59999999999,0,0,94,1,6,7,8,2.0091222983932866,3.4657359027997265,6.198478716492308,3.4339872044851463,2.70805020110221,4.04305126783455,3,0,0,0,0,0,0,2012,11,59,27,5,1,0,0,0,5
1974,3,88711.2,0,0,61,1,6,5,12,2.0082771743099452,4.553876891600541,6.393590753950631,5.075173815233827,4.5217885770490405,2.772588722239781,3,0,0,0,0,0,0,2013,2,39,3,3,1,0,0,0,5
1966,3,35606.4,1,1,13,1,0,0,3,1.3105061862047918,1.6094379124341003,1.3862943611198906,0.0,1.6094379124341003,2.1972245773362196,6,0,0,0,0,0,0,2013,12,47,3,5,1,0,0,0,5
1975,1,41305.2,1,0,88,1,1,0,2,1.1622831138840004,1.9459101490553132,2.0794415416798357,1.9459101490553132,1.0986122886681098,2.302585092994046,7,0,0,0,0,0,0,2013,1,38,7,1,1,0,0,0,5
1974,1,31473.6,1,0,57,1,1,0,2,1.1247482629090362,2.302585092994046,1.6094379124341003,1.3862943611198906,0.6931471805599453,2.302585092994046,8,0,0,0,0,0,0,2013,9,39,22,3,1,0,0,0,5
1989,2,82386.0,0,0,102,1,4,5,11,1.9650914196353428,3.1354942159291497,6.725033642166843,4.330733340286331,4.77912349311153,3.6635616461296463,3,0,0,0,0,0,0,2012,10,23,8,1,1,0,0,0,5
1955,1,56080.8,0,1,47,2,6,1,5,1.749824041026481,2.1972245773362196,4.927253685157205,3.295836866004329,3.1780538303479458,3.4011973816621555,7,0,0,0,0,0,0,2012,11,57,18,3,1,0,0,0,5
1956,3,51103.2,1,1,14,5,4,1,6,1.8402825130491083,1.791759469228055,4.04305126783455,0.0,0.0,0.0,8,0,0,0,0,0,0,2012,10,56,29,1,1,0,0,0,5
1976,2,49989.6,1,1,37,2,1,1,2,1.2917246727283112,2.0794415416798357,2.5649493574615367,2.772588722239781,1.6094379124341003,3.4011973816621555,4,0,0,0,0,0,0,2012,9,36,11,5,1,0,0,0,2
1958,3,31309.2,1,1,91,3,2,1,3,1.3973634811730353,2.6390573296152584,2.995732273553991,2.1972245773362196,2.8903717578961645,3.044522437723423,5,0,0,0,0,0,0,2014,2,56,25,5,1,0,0,0,5
1970,2,65763.59999999999,0,1,72,2,6,2,9,1.9482156550040577,1.3862943611198906,4.532599493153256,3.367295829986474,3.332204510175204,4.962844630259907,4,0,0,0,0,0,0,2012,8,42,21,5,1,0,0,0,5
1965,2,76766.4,0,1,100,4,5,4,10,2.0591720512942193,4.204692619390966,5.541263545158426,0.0,2.5649493574615367,2.5649493574615367,4,0,1,0,0,0,0,2012,2,47,12,3,1,0,0,0,3
1977,1,47227.2,1,1,28,1,1,0,2,1.3973634811730353,1.3862943611198906,1.0986122886681098,0.0,0.0,1.9459101490553132,6,1,0,0,0,0,0,2014,3,37,19,6,1,0,0,0,5
1959,2,102582.0,0,0,80,1,6,6,6,2.008911582783544,3.4011973816621555,6.416732282512326,3.8066624897703196,2.9444389791664403,4.007333185232471,2,0,0,0,0,0,0,2014,6,55,21,2,1,0,0,0,2
1977,3,36672.0,1,0,13,1,1,0,3,1.3105061862047918,1.6094379124341003,1.791759469228055,1.6094379124341003,1.791759469228055,2.0794415416798357,7,0,0,0,0,0,0,2013,6,36,27,4,1,0,0,0,3
1953,1,93132.0,0,1,77,2,4,7,4,2.095769820615829,3.6109179126442243,5.808142489980444,3.091042453358316,3.5263605246161616,2.833213344056216,7,0,0,0,0,0,0,2012,10,59,29,1,1,0,0,0,4
1952,1,32940.0,0,0,64,1,2,1,3,1.5604997616108316,2.772588722239781,3.1780538303479458,2.1972245773362196,2.4849066497880004,3.970291913552122,7,0,0,0,0,0,0,2013,4,61,15,1,1,0,0,0,3
1981,2,38230.8,1,0,10,1,1,0,3,1.1622831138840004,2.0794415416798357,2.0794415416798357,2.772588722239781,2.1972245773362196,2.4849066497880004,7,0,0,0,0,0,0,2014,2,33,27,4,1,0,0,0,2
1951,1,58438.8,1,1,97,1,1,0,3,1.496434016604423,1.6094379124341003,2.3978952727983707,1.0986122886681098,0.0,0.6931471805599453,5,0,0,0,0,0,0,2013,5,62,21,5,1,0,0,0,4
1995,3,96822.0,0,0,62,1,6,4,10,1.8732454942989716,3.8918202981106265,6.405228458030842,3.5553480614894135,3.295836866004329,4.007333185232471,2,0,0,0,0,0,0,2012,8,17,22,6,1,0,0,0,5
1960,0,70862.4,0,1,36,3,7,1,7,1.8662223006181342,3.6635616461296463,4.330733340286331,4.1588830833596715,4.060443010546419,3.4657359027997265,5,0,0,0,0,0,0,2013,11,53,17,3,1,0,0,0,2
1977,0,84214.8,0,1,17,3,7,3,13,1.9862097525467475,4.5217885770490405,5.1298987149230735,4.248495242049359,3.8066624897703196,4.897839799950911,5,0,0,0,0,0,0,2013,7,36,21,3,1,0,0,0,4
1970,3,43108.8,1,1,63,1,1,0,3,1.2917246727283112,1.3862943611198906,2.70805020110221,1.0986122886681098,1.3862943611198906,2.0794415416798357,5,0,0,0,0,0,0,2014,3,44,23,3,1,0,0,0,3
